Jugador;Equipo;Liga;Edad;Demarcación;Minutos jugados;PJ;Goles;Asistencias;Goles esperados;Asistencias esperadas;Remates;Remates a puerta;Pases clave;Precisión pases;Pases progresivos;Conducciones progresivas;Regates completados;Centros acertados;Toques en área;Duelos aéreos ganados;% duelos aéreos;% duelos;Entradas ganadas;Intercepciones;Recuperaciones;Despejes;Bloqueos;Faltas cometidas;Tarjetas amarillas;Tarjetas rojas;Paradas;Goles encajados;Porterías a cero;Salidas;Valor de mercado
Rosnen Torpel;Morgio FC;LaLiga Hypermotion;23;POR;1803;21;0;0;;;;;26.0;84.8;167.0;115.0;17.0;6.0;19.0;28.0;35.2;60.0;56.0;58.0;163.0;10.0;22.0;32.0;4;0;66.0;32.0;6.0;27.0;12380790
Kalez Osttov;Morgio FC;LaLiga Hypermotion;35;POR;1402;18;0;0;;;;;9.0;83.0;97.0;32.0;18.0;3.0;52.0;31.0;54.6;48.5;9.0;22.0;123.0;8.0;6.0;28.0;4;0;74.0;34.0;0.0;7.0;1169051
Morez Nevsen;Morgio FC;LaLiga Hypermotion;25;MC;2569;30;1;1;1.59;2.18;26.0;10.0;29.0;76.6;276.0;35.0;14.0;26.0;116.0;16.0;59.8;62.9;83.0;96.0;241.0;63.0;21.0;14.0;6;0;;;;;6715213
Jorvic Arez;Morgio FC;LaLiga Hypermotion;27;Extremo izquierdo;1434;16;3;1;2.8;1.51;61.0;32.0;16.0;79.3;50.0;62.0;18.0;3.0;87.0;25.0;40.9;58.6;47.0;31.0;178.0;44.0;18.0;17.0;9;0;;;;;4414639
Dangio Danmir;Morgio FC;LaLiga Hypermotion;22;Pivote;2208;38;0;0;4.11;1.37;43.0;17.0;19.0;84.1;125.0;71.0;17.0;27.0;132.0;37.0;49.0;46.2;10.0;40.0;70.0;81.0;15.0;30.0;9;0;;;;;68624
Nevju Arfal;Morgio FC;LaLiga Hypermotion;18;Extremo izquierdo;2409;26;9;6;8.59;5.75;72.0;30.0;50.0;86.9;222.0;108.0;16.0;39.0;40.0;41.0;34.5;58.6;39.0;70.0;170.0;31.0;12.0;57.0;5;0;;;;;7749437
Elihus Farlan;Morgio FC;LaLiga Hypermotion;22;Pivote;2067;35;2;1;2.08;4.31;27.0;7.0;20.0;71.8;118.0;79.0;15.0;20.0;100.0;22.0;56.8;62.3;59.0;44.0;94.0;40.0;3.0;10.0;8;0;;;;;18507359
Belkov Belkov;Morgio FC;LaLiga Hypermotion;31;Mediapunta;1378;16;4;2;3.63;2.02;37.0;13.0;15.0;90.2;32.0;10.0;12.0;20.0;18.0;42.0;45.3;49.3;25.0;36.0;77.0;39.0;2.0;21.0;3;0;;;;;4643868
Golmir Silzar;Morgio FC;LaLiga Hypermotion;30;Delantero centro;2895;39;4;2;3.88;1.78;40.0;13.0;32.0;76.2;70.0;31.0;52.0;25.0;148.0;112.0;47.8;41.4;23.0;40.0;170.0;118.0;32.0;21.0;7;0;;;;;1654226
Belju Silrin;Morgio FC;LaLiga Hypermotion;33;MC;2852;45;2;1;0.87;6.89;42.0;16.0;15.0;83.6;111.0;82.0;105.0;5.0;101.0;92.0;61.7;63.8;33.0;115.0;171.0;119.0;17.0;54.0;9;0;;;;;17724418
Nevvic Jorrin;Morgio FC;LaLiga Hypermotion;21;Mediapunta;1386;22;5;3;5.42;2.28;39.0;20.0;21.0;72.3;48.0;32.0;6.0;21.0;34.0;57.0;31.7;45.5;22.0;31.0;99.0;55.0;6.0;25.0;5;0;;;;;10362333
Eliic Belsen;Morgio FC;LaLiga Hypermotion;22;Extremo izquierdo;2051;35;5;4;4.82;2.43;77.0;39.0;9.0;70.1;214.0;21.0;11.0;4.0;35.0;78.0;52.8;48.8;14.0;23.0;149.0;53.0;13.0;10.0;0;0;;;;;13084903
Morba Golce;Morgio FC;LaLiga Hypermotion;26;Delantero centro;1621;20;5;4;4.86;2.39;33.0;16.0;23.0;79.0;149.0;31.0;44.0;19.0;63.0;58.0;56.3;64.6;13.0;21.0;140.0;71.0;15.0;21.0;4;0;;;;;6992629
Ostos Farkov;Morgio FC;LaLiga Hypermotion;26;Mediapunta;2099;28;1;0;1.6;0.79;35.0;15.0;11.0;66.4;66.0;37.0;24.0;29.0;50.0;40.0;47.0;40.0;34.0;24.0;172.0;34.0;12.0;45.0;2;0;;;;;314226
Torez Arnen;Morgio FC;LaLiga Hypermotion;19;DC;1067;11;0;0;1.18;2.61;4.0;0.0;14.0;90.8;49.0;40.0;27.0;7.0;61.0;12.0;47.0;46.6;7.0;9.0;66.0;31.0;7.0;9.0;3;1;;;;;3391803
Morju Beldin;Morgio FC;LaLiga Hypermotion;21;DC;697;9;0;0;0.73;0.16;4.0;1.0;6.0;91.4;24.0;30.0;26.0;4.0;35.0;6.0;47.1;44.3;18.0;21.0;64.0;18.0;4.0;13.0;2;1;;;;;8081996
Praju Kaldin;Morgio FC;LaLiga Hypermotion;23;MC;1461;21;1;1;2.51;0.95;14.0;4.0;15.0;68.4;122.0;53.0;20.0;17.0;52.0;45.0;57.7;47.5;18.0;33.0;155.0;12.0;2.0;16.0;3;0;;;;;4303376
Prazar Silvic;Morgio FC;LaLiga Hypermotion;30;Lateral derecho;1340;20;0;1;1.62;3.72;16.0;6.0;22.0;71.6;104.0;22.0;39.0;18.0;64.0;30.0;68.1;62.1;25.0;43.0;76.0;11.0;13.0;23.0;2;0;;;;;7056760
Rosos Praos;Morgio FC;LaLiga Hypermotion;23;Mediapunta;801;10;2;0;2.51;1.74;14.0;7.0;6.0;94.0;94.0;45.0;8.0;5.0;11.0;5.0;55.7;67.6;14.0;9.0;48.0;29.0;6.0;5.0;1;0;;;;;20987364
Gollan Kalfal;Morgio FC;LaLiga Hypermotion;34;Extremo izquierdo;1733;22;3;1;3.91;2.95;31.0;14.0;28.0;89.7;27.0;73.0;39.0;5.0;20.0;28.0;39.6;47.3;26.0;17.0;122.0;69.0;21.0;27.0;7;1;;;;;1105336
Mortov Jorpel;Morgio FC;LaLiga Hypermotion;21;Lateral derecho;2454;36;1;2;4.66;1.53;8.0;1.0;8.0;79.7;192.0;79.0;64.0;2.0;129.0;72.0;54.7;46.7;30.0;47.0;217.0;89.0;13.0;12.0;1;0;;;;;7780893
Ivaez Danpel;Morgio FC;LaLiga Hypermotion;24;Pivote;1461;18;0;1;2.74;1.62;10.0;3.0;26.0;87.6;56.0;12.0;21.0;22.0;24.0;64.0;49.4;51.7;19.0;12.0;169.0;10.0;7.0;17.0;0;0;;;;;2643950
Quice Jornen;Lunkov FC;LaLiga Hypermotion;18;POR;2511;32;0;0;;;;;40.0;94.3;228.0;137.0;5.0;19.0;26.0;65.0;65.5;50.2;23.0;39.0;275.0;109.0;6.0;59.0;6;0;111.0;37.0;15.0;26.0;10203460
Golmir Farrin;Lunkov FC;LaLiga Hypermotion;18;POR;728;9;0;0;;;;;16.0;82.8;40.0;13.0;19.0;7.0;15.0;15.0;36.2;61.4;12.0;9.0;81.0;22.0;6.0;14.0;7;0;25.0;11.0;3.0;6.0;6142629
Joros Praos;Lunkov FC;LaLiga Hypermotion;19;Extremo izquierdo;370;5;0;0;0.73;0.4;4.0;1.0;2.0;75.1;22.0;10.0;8.0;3.0;6.0;16.0;44.6;55.9;5.0;6.0;19.0;6.0;0.0;4.0;9;1;;;;;1058589
Henzar Ostdin;Lunkov FC;LaLiga Hypermotion;26;Extremo izquierdo;1051;14;5;4;5.43;1.91;47.0;18.0;4.0;94.9;47.0;39.0;22.0;12.0;37.0;7.0;66.1;59.5;19.0;34.0;49.0;40.0;14.0;19.0;9;0;;;;;11167405
Corzar Nevpel;Lunkov FC;LaLiga Hypermotion;29;Lateral derecho;1930;27;0;2;1.27;3.77;14.0;2.0;14.0;82.4;67.0;102.0;34.0;5.0;93.0;75.0;61.8;68.3;58.0;21.0;197.0;78.0;10.0;11.0;3;0;;;;;8736073
Danvic Nevvic;Lunkov FC;LaLiga Hypermotion;30;MC;2311;25;0;0;1.07;2.03;11.0;2.0;18.0;77.1;120.0;84.0;54.0;35.0;106.0;60.0;61.5;63.2;58.0;56.0;260.0;17.0;12.0;20.0;7;0;;;;;12193825
Praos Torba;Lunkov FC;LaLiga Hypermotion;19;Pivote;1975;22;0;1;1.17;0.91;21.0;5.0;33.0;83.4;123.0;97.0;51.0;7.0;127.0;9.0;43.6;46.1;26.0;34.0;124.0;52.0;14.0;25.0;7;0;;;;;13051246
Belez Prafal;Lunkov FC;LaLiga Hypermotion;27;DC;775;13;0;0;0.9;1.82;3.0;1.0;14.0;82.9;60.0;9.0;14.0;12.0;32.0;15.0;39.3;48.8;12.0;8.0;39.0;32.0;10.0;12.0;9;0;;;;;1975007
Jorgio Danvic;Lunkov FC;LaLiga Hypermotion;31;Mediapunta;900;10;6;2;7.04;2.35;22.0;5.0;10.0;88.1;90.0;50.0;14.0;13.0;53.0;11.0;41.2;54.2;6.0;21.0;77.0;14.0;2.0;18.0;7;1;;;;;12127905
Hendin Belrin;Lunkov FC;LaLiga Hypermotion;24;Pivote;1520;21;1;0;0.86;0.43;19.0;8.0;9.0;81.0;90.0;57.0;22.0;6.0;79.0;53.0;45.4;65.6;20.0;41.0;176.0;63.0;2.0;35.0;1;0;;;;;4933039
Arzar Silvic;Lunkov FC;LaLiga Hypermotion;33;Pivote;1519;22;2;3;1.15;3.04;4.0;1.0;19.0;89.9;140.0;113.0;23.0;2.0;36.0;41.0;53.1;67.3;27.0;28.0;194.0;52.0;16.0;34.0;2;0;;;;;17669627
Quiic Rospel;Lunkov FC;LaLiga Hypermotion;25;Extremo izquierdo;1666;22;1;0;1.48;0.86;69.0;25.0;6.0;68.9;28.0;50.0;26.0;2.0;59.0;73.0;39.4;54.8;31.0;21.0;96.0;11.0;14.0;10.0;6;0;;;;;138886
Silba Ostzar;Lunkov FC;LaLiga Hypermotion;18;Delantero centro;1867;24;8;2;7.01;4.23;57.0;15.0;23.0;77.4;213.0;67.0;40.0;25.0;58.0;13.0;34.2;47.2;29.0;42.0;173.0;79.0;9.0;39.0;2;0;;;;;29079207
Belce Ivaic;Lunkov FC;LaLiga Hypermotion;22;Extremo izquierdo;572;7;1;1;1.87;1.32;15.0;4.0;9.0;76.3;46.0;23.0;6.0;3.0;6.0;7.0;30.4;52.3;9.0;5.0;42.0;24.0;7.0;4.0;0;0;;;;;2440213
Nevez Lunzar;Lunkov FC;LaLiga Hypermotion;20;Lateral derecho;655;7;0;0;0.59;0.67;12.0;2.0;3.0;66.8;36.0;27.0;9.0;7.0;38.0;15.0;60.1;58.6;10.0;16.0;36.0;7.0;2.0;6.0;6;0;;;;;787098
Torce Golgio;Lunkov FC;LaLiga Hypermotion;23;DC;1742;21;0;1;2.66;2.36;29.0;13.0;5.0;91.8;130.0;30.0;3.0;5.0;94.0;12.0;64.5;43.1;21.0;38.0;66.0;41.0;20.0;8.0;9;0;;;;;5609432
Ostgio Osttov;Lunkov FC;LaLiga Hypermotion;22;MC;1961;27;0;2;0.64;5.3;31.0;9.0;33.0;96.1;181.0;131.0;28.0;25.0;42.0;16.0;56.2;46.9;65.0;33.0;143.0;5.0;7.0;38.0;7;0;;;;;34397821
Roskov Golju;Lunkov FC;LaLiga Hypermotion;26;Extremo izquierdo;751;9;2;0;2.31;1.65;15.0;4.0;10.0;80.0;77.0;25.0;9.0;12.0;10.0;12.0;60.5;48.3;10.0;26.0;37.0;13.0;1.0;6.0;4;0;;;;;6884819
Golce Golgio;Lunkov FC;LaLiga Hypermotion;22;DC;723;8;0;0;1.1;0.77;5.0;1.0;9.0;66.4;32.0;41.0;14.0;1.0;30.0;13.0;66.6;65.2;8.0;8.0;39.0;24.0;4.0;13.0;6;0;;;;;3257715
Belce Henhus;Lunkov FC;LaLiga Hypermotion;24;Lateral derecho;712;9;0;0;0.74;1.79;11.0;2.0;12.0;76.5;28.0;7.0;25.0;4.0;40.0;11.0;65.3;52.2;6.0;17.0;52.0;25.0;3.0;10.0;3;0;;;;;7668380
Ostic Faros;Lunkov FC;LaLiga Hypermotion;29;MC;890;13;0;0;0.43;2.24;8.0;3.0;8.0;82.6;32.0;27.0;15.0;8.0;11.0;7.0;38.2;54.1;6.0;12.0;88.0;32.0;8.0;13.0;3;0;;;;;2339316
Danpel Quisen;Lunkov FC;LaLiga Hypermotion;21;MC;1264;16;0;1;1.32;3.3;14.0;5.0;20.0;87.0;78.0;13.0;19.0;16.0;57.0;19.0;63.6;47.2;17.0;36.0;145.0;17.0;7.0;21.0;9;0;;;;;6360428
Roskov Lunba;Silos FC;LaLiga Hypermotion;20;POR;1396;20;0;0;;;;;14.0;79.8;125.0;55.0;30.0;21.0;28.0;12.0;45.0;57.7;21.0;20.0;173.0;56.0;18.0;34.0;5;0;62.0;18.0;3.0;17.0;9603545
Corkov Farrin;Silos FC;LaLiga Hypermotion;29;POR;1459;20;0;0;;;;;35.0;84.6;109.0;74.0;57.0;5.0;70.0;19.0;54.7;68.7;15.0;45.0;110.0;5.0;16.0;25.0;0;0;44.0;22.0;2.0;9.0;5774807
Kalsen Morhus;Silos FC;LaLiga Hypermotion;23;Mediapunta;1233;17;2;0;2.82;1.1;58.0;29.0;25.0;72.9;38.0;19.0;5.0;9.0;8.0;16.0;58.5;64.7;24.0;25.0;140.0;8.0;3.0;14.0;0;2;;;;;13600553
Morvic Pratov;Silos FC;LaLiga Hypermotion;25;Mediapunta;1749;24;6;3;5.75;4.09;72.0;25.0;38.0;75.9;63.0;83.0;56.0;21.0;43.0;70.0;43.3;56.1;19.0;44.0;101.0;74.0;15.0;20.0;1;0;;;;;11530690
Quigio Luntov;Silos FC;LaLiga Hypermotion;33;Pivote;1027;15;1;1;0.69;2.25;16.0;7.0;24.0;79.4;29.0;36.0;11.0;9.0;36.0;4.0;57.1;66.8;30.0;20.0;94.0;22.0;9.0;20.0;8;0;;;;;3742015
Kallan Kalmir;Silos FC;LaLiga Hypermotion;20;Extremo izquierdo;1449;22;7;4;7.48;3.91;66.0;30.0;12.0;68.4;138.0;53.0;34.0;2.0;38.0;62.0;43.1;59.2;41.0;44.0;153.0;57.0;8.0;11.0;2;0;;;;;14730122
Kalce Hengio;Silos FC;LaLiga Hypermotion;21;Pivote;2037;33;0;0;1.5;3.28;40.0;9.0;28.0;89.1;47.0;104.0;39.0;7.0;75.0;42.0;50.9;45.5;46.0;36.0;139.0;72.0;15.0;19.0;2;0;;;;;5753076
Lunez Henos;Silos FC;LaLiga Hypermotion;24;MC;2045;36;1;0;3.96;4.99;12.0;4.0;10.0;71.8;130.0;47.0;8.0;16.0;77.0;39.0;43.1;46.2;48.0;75.0;138.0;36.0;17.0;20.0;8;0;;;;;10031149
Pralan Pradin;Silos FC;LaLiga Hypermotion;33;Delantero centro;2700;30;3;2;3.76;2.85;111.0;42.0;46.0;69.3;135.0;115.0;7.0;9.0;142.0;82.0;60.9;57.8;33.0;53.0;157.0;39.0;7.0;58.0;9;0;;;;;1459599
Ostic Ostba;Silos FC;LaLiga Hypermotion;27;Delantero centro;2855;35;13;10;11.15;7.97;35.0;14.0;23.0;76.1;75.0;103.0;53.0;25.0;101.0;54.0;52.4;54.9;52.0;61.0;144.0;65.0;16.0;39.0;8;0;;;;;12478047
Silsen Ostez;Silos FC;LaLiga Hypermotion;29;DC;2112;27;3;0;1.94;5.01;35.0;13.0;22.0;67.5;239.0;29.0;27.0;26.0;31.0;55.0;49.7;68.6;28.0;25.0;236.0;74.0;24.0;29.0;5;0;;;;;22078752
Golmir Silba;Silos FC;LaLiga Hypermotion;33;Mediapunta;1548;18;1;1;1.87;0.88;36.0;11.0;28.0;77.2;39.0;10.0;11.0;16.0;72.0;45.0;35.2;50.8;14.0;27.0;76.0;12.0;5.0;13.0;6;0;;;;;1658840
Silba Fargio;Silos FC;LaLiga Hypermotion;22;Lateral derecho;1568;22;0;2;1.96;4.04;5.0;1.0;26.0;79.7;150.0;54.0;67.0;9.0;96.0;8.0;43.3;60.2;25.0;42.0;178.0;58.0;13.0;34.0;0;0;;;;;25093922
Nevmir Farrin;Silos FC;LaLiga Hypermotion;22;Pivote;1341;20;1;1;2.61;0.51;24.0;9.0;11.0;93.4;27.0;46.0;4.0;21.0;30.0;42.0;66.2;54.2;28.0;17.0;107.0;6.0;14.0;23.0;6;0;;;;;12965794
Prakov Rosvic;Silos FC;LaLiga Hypermotion;22;Extremo izquierdo;1703;21;6;4;5.16;2.8;55.0;17.0;26.0;85.5;79.0;39.0;42.0;28.0;89.0;41.0;69.2;55.4;33.0;43.0;81.0;46.0;21.0;24.0;0;0;;;;;3446307
Rosmir Eliez;Silos FC;LaLiga Hypermotion;26;Mediapunta;1223;15;6;3;6.72;2.4;58.0;20.0;15.0;96.5;73.0;57.0;16.0;13.0;30.0;38.0;59.8;59.7;45.0;16.0;86.0;12.0;11.0;10.0;0;0;;;;;15327953
Ivapel Lunvic;Silos FC;LaLiga Hypermotion;19;Mediapunta;1351;22;3;1;3.66;3.13;27.0;14.0;8.0;68.3;100.0;31.0;23.0;18.0;33.0;40.0;38.0;59.5;8.0;15.0;58.0;33.0;3.0;26.0;5;0;;;;;3657189
Corju Belju;Silos FC;LaLiga Hypermotion;25;Extremo izquierdo;917;10;3;1;2.98;1.87;25.0;11.0;11.0;75.9;91.0;31.0;27.0;15.0;51.0;36.0;63.4;46.7;18.0;14.0;68.0;36.0;2.0;17.0;9;0;;;;;10129323
Ostrin Danmir;Silos FC;LaLiga Hypermotion;26;MC;1728;19;1;0;3.08;3.02;25.0;6.0;30.0;87.1;86.0;26.0;8.0;22.0;70.0;7.0;45.9;43.9;26.0;35.0;103.0;28.0;21.0;13.0;2;0;;;;;3304430
Silba Hentov;Silos FC;LaLiga Hypermotion;20;Mediapunta;1528;22;5;2;5.3;4.48;75.0;29.0;19.0;82.2;51.0;35.0;43.0;24.0;80.0;25.0;63.8;52.8;40.0;31.0;108.0;58.0;3.0;14.0;0;0;;;;;4121498
Quinen Dangio;Silos FC;LaLiga Hypermotion;23;MC;1805;22;0;4;2.42;3.65;17.0;7.0;27.0;89.4;52.0;130.0;11.0;7.0;12.0;67.0;60.4;46.1;63.0;52.0;241.0;46.0;10.0;34.0;7;0;;;;;35315706
Golpel Farce;Silos FC;LaLiga Hypermotion;31;Lateral derecho;829;10;0;0;0.41;1.34;2.0;0.0;7.0;71.7;84.0;12.0;25.0;3.0;34.0;17.0;55.3;46.5;24.0;11.0;88.0;5.0;2.0;6.0;4;0;;;;;3632437
Golmir Ostzar;Belkov FC;Primera División Argentina;23;POR;1264;20;0;0;;;;;22.0;87.7;91.0;53.0;9.0;8.0;34.0;54.0;67.7;47.9;24.0;31.0;70.0;8.0;12.0;25.0;2;0;41.0;22.0;3.0;17.0;3641484
Fartov Elizar;Belkov FC;Primera División Argentina;20;POR;1831;26;0;0;;;;;9.0;84.4;142.0;33.0;67.0;9.0;74.0;47.0;38.1;49.1;21.0;56.0;102.0;53.0;12.0;44.0;7;0;59.0;25.0;4.0;29.0;20209486
Pralan Ivadin;Belkov FC;Primera División Argentina;19;Delantero centro;1201;17;2;1;2.51;1.16;59.0;31.0;12.0;85.2;61.0;25.0;16.0;16.0;6.0;21.0;48.9;62.1;14.0;17.0;128.0;39.0;12.0;11.0;6;0;;;;;3763197
Rosnen Silce;Belkov FC;Primera División Argentina;31;MC;1708;28;1;1;2.08;3.88;23.0;8.0;23.0;68.5;42.0;108.0;40.0;3.0;53.0;65.0;60.6;47.3;12.0;36.0;142.0;36.0;2.0;39.0;2;0;;;;;2575529
Quidin Quiba;Belkov FC;Primera División Argentina;26;MC;880;10;0;0;1.31;0.93;17.0;7.0;3.0;81.2;86.0;38.0;2.0;8.0;38.0;26.0;33.3;56.9;27.0;19.0;96.0;4.0;10.0;15.0;3;0;;;;;7007418
Eligio Faric;Belkov FC;Primera División Argentina;25;Lateral derecho;2662;33;0;2;3.16;4.91;25.0;11.0;23.0;86.1;85.0;17.0;17.0;25.0;88.0;13.0;67.2;50.0;57.0;80.0;304.0;63.0;17.0;58.0;2;0;;;;;5576034
Ivatov Nevfal;Belkov FC;Primera División Argentina;27;Extremo izquierdo;1566;18;4;1;4.36;3.66;20.0;9.0;12.0;78.6;46.0;65.0;34.0;8.0;35.0;54.0;36.0;42.8;21.0;41.0;144.0;8.0;4.0;10.0;3;1;;;;;627614
Silmir Danzar;Belkov FC;Primera División Argentina;19;Lateral derecho;2179;25;2;1;1.08;2.74;41.0;9.0;35.0;88.9;146.0;154.0;65.0;18.0;15.0;48.0;36.5;44.2;58.0;83.0;209.0;52.0;21.0;45.0;7;0;;;;;15367146
Henpel Silnen;Belkov FC;Primera División Argentina;21;Lateral derecho;1927;28;1;2;1.93;0.89;35.0;14.0;9.0;65.7;73.0;110.0;16.0;4.0;5.0;18.0;56.8;53.8;66.0;42.0;160.0;15.0;12.0;28.0;5;0;;;;;20521936
Henpel Jorfal;Belkov FC;Primera División Argentina;30;Lateral derecho;800;11;0;0;0.87;1.02;10.0;3.0;13.0;65.1;13.0;17.0;18.0;9.0;44.0;6.0;66.9;42.6;4.0;13.0;30.0;16.0;7.0;9.0;0;0;;;;;823450
Kalrin Henfal;Belkov FC;Primera División Argentina;19;Mediapunta;1883;29;3;2;3.93;1.06;93.0;24.0;45.0;93.9;139.0;25.0;58.0;30.0;69.0;11.0;40.7;55.7;55.0;14.0;218.0;9.0;11.0;41.0;9;0;;;;;8310268
Belgio Pramir;Belkov FC;Primera División Argentina;21;Extremo izquierdo;1758;30;2;1;2.54;1.27;46.0;13.0;12.0;92.3;167.0;51.0;34.0;24.0;69.0;12.0;33.3;53.9;20.0;16.0;96.0;63.0;6.0;43.0;9;0;;;;;3462951
Hence Joric;Belkov FC;Primera División Argentina;23;Pivote;1454;20;1;0;2.0;2.66;9.0;3.0;9.0;92.2;41.0;40.0;30.0;3.0;16.0;7.0;54.5;48.8;14.0;31.0;101.0;64.0;7.0;12.0;1;2;;;;;12807318
Jorpel Corgio;Belkov FC;Primera División Argentina;20;Delantero centro;925;13;4;2;5.39;3.6;41.0;16.0;9.0;85.9;29.0;20.0;14.0;15.0;19.0;31.0;31.1;49.6;25.0;26.0;107.0;39.0;3.0;6.0;5;0;;;;;20552584
Quios Nevdin;Belkov FC;Primera División Argentina;26;Pivote;1536;25;0;0;2.95;0.5;22.0;8.0;11.0;66.2;71.0;68.0;8.0;11.0;20.0;61.0;54.2;55.0;29.0;15.0;112.0;53.0;4.0;24.0;0;1;;;;;3151601
Lundin Torzar;Belkov FC;Primera División Argentina;22;Delantero centro;1356;19;1;1;2.13;1.51;31.0;13.0;15.0;91.4;81.0;32.0;37.0;20.0;60.0;13.0;37.9;47.7;27.0;39.0;84.0;51.0;13.0;31.0;8;0;;;;;5165927
Ivahus Belgio;Belkov FC;Primera División Argentina;22;Extremo izquierdo;1742;19;1;0;1.48;0.85;74.0;33.0;23.0;71.9;122.0;69.0;13.0;14.0;42.0;29.0;65.7;58.8;21.0;38.0;53.0;43.0;7.0;35.0;2;0;;;;;1577915
Tordin Nevnen;Belkov FC;Primera División Argentina;30;DC;1488;20;0;1;1.07;2.1;10.0;4.0;19.0;78.6;140.0;99.0;29.0;2.0;12.0;43.0;63.3;46.8;40.0;55.0;139.0;40.0;6.0;34.0;9;0;;;;;14816297
Torkov Kalgio;Belkov FC;Primera División Argentina;28;Extremo izquierdo;1238;18;6;2;7.3;3.48;28.0;9.0;14.0;84.7;125.0;55.0;28.0;10.0;53.0;17.0;67.6;62.0;18.0;27.0;146.0;10.0;4.0;16.0;3;0;;;;;16590931
Beltov Praos;Belkov FC;Primera División Argentina;24;Delantero centro;2410;28;15;7;13.15;4.65;103.0;37.0;65.0;84.3;283.0;112.0;76.0;31.0;130.0;8.0;38.4;45.3;19.0;67.0;221.0;41.0;21.0;21.0;7;0;;;;;5681007
Danez Torvic;Belkov FC;Primera División Argentina;22;Delantero centro;535;6;2;1;2.42;1.42;22.0;11.0;8.0;88.3;54.0;31.0;3.0;9.0;23.0;16.0;63.7;50.8;5.0;10.0;39.0;7.0;6.0;4.0;6;0;;;;;14912188
Tormir Prakov;Belkov FC;Primera División Argentina;20;MC;1740;22;1;0;1.91;1.07;30.0;8.0;38.0;81.6;154.0;10.0;26.0;21.0;90.0;43.0;40.0;46.4;16.0;34.0;68.0;45.0;12.0;39.0;4;0;;;;;4472047
Pratov Arzar;Henba FC;Primera División Argentina;22;POR;2216;38;0;0;;;;;26.0;64.5;98.0;42.0;49.0;11.0;100.0;40.0;30.8;50.0;14.0;48.0;156.0;83.0;26.0;24.0;0;0;111.0;35.0;8.0;28.0;3848494
Jorvic Torce;Henba FC;Primera División Argentina;22;POR;2455;35;0;0;;;;;64.0;85.3;224.0;101.0;27.0;38.0;92.0;105.0;56.8;66.5;75.0;43.0;275.0;22.0;22.0;55.0;0;0;58.0;34.0;12.0;32.0;15052911
Prahus Rosic;Henba FC;Primera División Argentina;22;DC;2036;22;1;1;3.99;1.07;36.0;11.0;27.0;68.8;139.0;94.0;59.0;23.0;112.0;71.0;39.4;51.1;10.0;24.0;128.0;34.0;5.0;44.0;5;0;;;;;5860462
Rosrin Dandin;Henba FC;Primera División Argentina;18;Extremo izquierdo;1278;22;1;0;1.89;1.41;15.0;3.0;20.0;70.5;68.0;60.0;32.0;15.0;20.0;28.0;43.1;57.8;19.0;33.0;77.0;3.0;7.0;21.0;5;0;;;;;1373940
Jornen Aros;Henba FC;Primera División Argentina;21;DC;1949;29;0;0;1.58;3.22;28.0;11.0;26.0;64.0;91.0;11.0;35.0;28.0;109.0;24.0;42.8;42.6;22.0;19.0;81.0;58.0;14.0;17.0;0;0;;;;;284393
Golic Arez;Henba FC;Primera División Argentina;29;DC;1816;27;1;1;3.05;3.7;18.0;7.0;14.0;94.9;90.0;15.0;30.0;17.0;106.0;51.0;47.3;52.1;56.0;19.0;234.0;16.0;7.0;26.0;7;0;;;;;8932923
Silsen Ostos;Henba FC;Primera División Argentina;25;MC;1524;23;1;0;0.79;3.12;12.0;5.0;35.0;80.6;100.0;39.0;22.0;13.0;20.0;66.0;37.1;56.0;27.0;32.0;175.0;12.0;4.0;10.0;4;0;;;;;6697342
Torez Jorrin;Henba FC;Primera División Argentina;20;Extremo izquierdo;1267;19;6;2;6.67;4.65;56.0;21.0;31.0;73.0;39.0;76.0;8.0;17.0;13.0;43.0;56.2;59.8;34.0;52.0;108.0;3.0;5.0;20.0;4;0;;;;;17861941
Gollan Kaltov;Henba FC;Primera División Argentina;20;Lateral derecho;3054;37;0;1;6.02;4.2;46.0;15.0;73.0;82.3;119.0;25.0;16.0;34.0;148.0;33.0;41.4;44.5;69.0;51.0;390.0;37.0;19.0;52.0;0;0;;;;;6715107
Arrin Kalce;Henba FC;Primera División Argentina;21;Pivote;1042;13;0;0;0.52;0.96;3.0;0.0;23.0;80.5;52.0;39.0;13.0;7.0;40.0;25.0;47.8;51.5;18.0;8.0;55.0;21.0;2.0;14.0;0;0;;;;;6931466
Mornen Lunpel;Henba FC;Primera División Argentina;22;Mediapunta;1438;24;4;1;3.73;3.34;42.0;10.0;39.0;83.3;108.0;53.0;31.0;17.0;49.0;55.0;44.4;43.8;27.0;27.0;104.0;35.0;10.0;15.0;2;0;;;;;15501705
Rostov Lunnen;Henba FC;Primera División Argentina;27;Mediapunta;2774;48;1;0;1.89;0.61;53.0;21.0;24.0;65.2;50.0;103.0;35.0;31.0;164.0;90.0;65.6;57.3;23.0;13.0;171.0;12.0;20.0;35.0;4;0;;;;;182246
Henmir Belzar;Henba FC;Primera División Argentina;19;Delantero centro;1205;16;0;0;0.69;0.57;18.0;9.0;18.0;77.1;71.0;11.0;2.0;18.0;30.0;13.0;39.9;39.9;6.0;7.0;38.0;5.0;13.0;23.0;4;0;;;;;898446
