Player,Club,Competition,Age,Position,Minutes Played,Apps,Goals,Assists,xG,xA,Shots,Shots On Target,Key Passes,Pass Accuracy,Progressive Passes,Progressive Carries,Dribbles Completed,Accurate Crosses,Touches In Box,Aerial Duels Won,Aerials Won %,Duels Won %,Tackles Won,Interceptions,Recoveries,Clearances,Blocks,Fouls,Yellow Cards,Red Cards,Saves,Goals Conceded,Clean Sheets,High Claims,Market Value
Quihus Osthus,Torvic FC,Eredivisie,21,RB,264,3,0,0,0.24,0.61,1.0,0.0,4.0,91.5,15.0,7.0,7.0,2.0,13.0,4.0,55.8,65.8,4.0,7.0,18.0,6.0,2.0,4.0,5,0,,,,,4491459
Jorce Rostov,Torvic FC,Eredivisie,25,LW,2461,37,2,2,3.05,1.15,55.0,15.0,25.0,79.8,77.0,82.0,40.0,27.0,31.0,80.0,33.0,42.7,31.0,39.0,102.0,26.0,7.0,13.0,0,0,,,,,941836
Kalsen Golic,Torvic FC,Eredivisie,27,RB,1163,17,0,0,2.25,1.98,5.0,2.0,15.0,91.2,79.0,26.0,10.0,6.0,28.0,23.0,69.1,53.9,23.0,25.0,69.0,44.0,12.0,18.0,5,0,,,,,5013548
Praic Jorpel,Torvic FC,Eredivisie,35,RB,2527,37,0,0,2.6,6.3,20.0,8.0,5.0,66.7,41.0,86.0,13.0,4.0,22.0,21.0,50.4,58.6,14.0,35.0,139.0,83.0,5.0,22.0,0,0,,,,,1290292
Silrin Morzar,Torvic FC,Eredivisie,22,CB,1966,31,2,0,3.87,3.28,4.0,0.0,19.0,72.9,137.0,39.0,30.0,19.0,8.0,10.0,59.6,49.4,50.0,27.0,191.0,62.0,3.0,20.0,3,0,,,,,16482526
Hentov Corfal,Torvic FC,Eredivisie,25,RB,1093,12,1,0,1.96,2.91,12.0,5.0,27.0,93.3,73.0,44.0,11.0,2.0,53.0,4.0,47.4,66.0,8.0,31.0,83.0,6.0,12.0,20.0,4,0,,,,,8206385
Lunos Quice,Torvic FC,Eredivisie,31,LW,1379,15,7,4,6.06,2.43,63.0,30.0,23.0,68.5,43.0,14.0,56.0,14.0,52.0,13.0,35.2,47.4,26.0,40.0,163.0,17.0,5.0,20.0,3,0,,,,,14765036
Elikov Morba,Torvic FC,Eredivisie,18,RB,2140,35,2,3,3.86,2.3,37.0,10.0,11.0,81.5,159.0,105.0,77.0,34.0,76.0,89.0,52.9,57.4,59.0,19.0,245.0,25.0,9.0,17.0,0,0,,,,,27058593
Jorlan Elice,Torvic FC,Eredivisie,21,LW,722,9,0,0,0.32,0.24,15.0,7.0,5.0,77.0,15.0,4.0,9.0,1.0,25.0,32.0,33.7,47.9,12.0,9.0,23.0,29.0,8.0,13.0,0,0,,,,,650892
Ostfal Corfal,Arnen FC,Eredivisie,32,GK,823,13,0,0,,,,,12.0,92.7,58.0,17.0,15.0,2.0,42.0,34.0,59.3,61.6,13.0,5.0,41.0,15.0,5.0,13.0,6,1,47.0,13.0,1.0,7.0,591679
Corju Henpel,Arnen FC,Eredivisie,24,GK,1804,20,0,0,,,,,32.0,71.6,120.0,10.0,29.0,27.0,44.0,37.0,31.9,64.2,40.0,23.0,147.0,62.0,9.0,22.0,9,0,62.0,20.0,7.0,12.0,4531215
Farfal Corsen,Arnen FC,Eredivisie,21,CM,1122,14,0,1,0.98,1.65,22.0,8.0,9.0,66.2,59.0,62.0,3.0,18.0,7.0,39.0,68.6,58.2,17.0,24.0,77.0,33.0,4.0,15.0,4,0,,,,,10170090
Farsen Aric,Arnen FC,Eredivisie,20,CM,1635,21,1,0,2.67,4.02,27.0,6.0,12.0,88.9,143.0,30.0,14.0,13.0,44.0,62.0,50.0,59.0,27.0,14.0,177.0,54.0,18.0,7.0,2,0,,,,,9664733
Elihus Silsen,Arnen FC,Eredivisie,26,RB,2112,25,1,0,1.4,3.46,18.0,6.0,13.0,83.0,102.0,84.0,40.0,4.0,77.0,36.0,53.4,57.9,15.0,12.0,94.0,12.0,22.0,28.0,8,1,,,,,2001441
Ivalan Ostlan,Arnen FC,Eredivisie,25,CB,1845,24,0,0,3.2,4.25,24.0,11.0,7.0,87.7,56.0,29.0,9.0,18.0,9.0,69.0,59.8,63.0,22.0,43.0,124.0,40.0,3.0,15.0,1,0,,,,,1027412
Tormir Corsen,Arnen FC,Eredivisie,23,LW,890,10,1,0,1.56,1.45,26.0,11.0,22.0,80.3,47.0,47.0,21.0,11.0,48.0,13.0,46.5,54.2,26.0,13.0,52.0,22.0,4.0,19.0,9,0,,,,,17921846
Rosos Quiba,Arnen FC,Eredivisie,26,LW,622,11,2,1,2.05,0.75,28.0,8.0,2.0,80.4,32.0,35.0,19.0,5.0,16.0,20.0,61.9,59.0,9.0,13.0,38.0,6.0,7.0,14.0,3,0,,,,,6866696
Kalhus Farkov,Arnen FC,Eredivisie,23,RB,2269,30,0,3,2.51,0.8,6.0,2.0,24.0,89.2,193.0,88.0,42.0,25.0,111.0,74.0,40.4,48.2,43.0,16.0,271.0,64.0,5.0,35.0,3,0,,,,,12073809
Luntov Belic,Arnen FC,Eredivisie,21,CB,2412,27,0,1,0.93,3.55,45.0,16.0,29.0,78.6,196.0,99.0,62.0,40.0,71.0,84.0,61.8,61.0,48.0,45.0,208.0,105.0,21.0,31.0,8,0,,,,,1782668
Ardin Silez,Arnen FC,Eredivisie,29,CB,1324,17,2,0,2.65,1.05,18.0,8.0,24.0,75.2,158.0,35.0,12.0,21.0,14.0,50.0,33.3,68.0,18.0,46.0,104.0,50.0,3.0,26.0,4,0,,,,,15325549
Elisen Elice,Arnen FC,Eredivisie,19,AM,2233,33,11,8,13.08,9.85,110.0,42.0,64.0,79.4,210.0,30.0,56.0,6.0,130.0,59.0,68.1,52.5,57.0,74.0,142.0,56.0,19.0,21.0,6,0,,,,,20749863
Torrin Silba,Arnen FC,Eredivisie,22,LW,2074,35,3,1,2.64,1.43,39.0,21.0,10.0,69.4,58.0,60.0,32.0,3.0,96.0,71.0,48.4,46.0,37.0,35.0,196.0,31.0,10.0,33.0,2,0,,,,,1377692
Silsen Ivaba,Arnen FC,Eredivisie,23,LW,2692,44,7,4,7.38,3.85,51.0,13.0,20.0,65.9,74.0,89.0,48.0,26.0,23.0,112.0,46.4,54.3,41.0,94.0,237.0,79.0,7.0,42.0,2,0,,,,,17910021
Lunic Praju,Arnen FC,Eredivisie,26,AM,1255,16,3,1,3.74,3.37,24.0,10.0,16.0,83.3,30.0,55.0,3.0,6.0,60.0,41.0,50.9,58.7,19.0,10.0,77.0,37.0,8.0,16.0,4,0,,,,,7974334
Golce Hendin,Arnen FC,Eredivisie,27,DM,1014,17,0,0,0.36,2.44,9.0,4.0,12.0,71.2,31.0,31.0,25.0,4.0,23.0,22.0,42.1,50.8,17.0,21.0,78.0,36.0,11.0,17.0,9,0,,,,,975896
Corpel Silsen,Arnen FC,Eredivisie,19,AM,1258,14,1,1,1.88,1.31,54.0,19.0,5.0,92.4,110.0,40.0,31.0,8.0,11.0,33.0,47.4,45.8,28.0,29.0,109.0,41.0,14.0,20.0,1,0,,,,,4278545
Silmir Morlan,Arnen FC,Eredivisie,23,AM,2461,29,12,5,14.22,10.4,110.0,40.0,41.0,68.7,238.0,103.0,74.0,17.0,66.0,91.0,57.1,43.7,52.0,57.0,247.0,45.0,20.0,50.0,4,0,,,,,10447395
Kalic Elinen,Arnen FC,Eredivisie,22,CB,1612,24,0,2,0.18,2.57,5.0,2.0,29.0,70.6,161.0,89.0,23.0,4.0,61.0,42.0,50.3,46.7,28.0,55.0,146.0,46.0,4.0,23.0,1,0,,,,,8505271
Moros Lunsen,Arnen FC,Eredivisie,24,ST,1673,29,5,3,4.78,4.34,52.0,22.0,25.0,68.7,171.0,78.0,46.0,10.0,62.0,24.0,62.5,44.7,38.0,51.0,205.0,38.0,22.0,21.0,9,0,,,,,10602895
Arfal Jorhus,Arnen FC,Eredivisie,18,CM,2112,26,1,0,2.06,3.51,26.0,6.0,40.0,83.5,119.0,104.0,34.0,17.0,24.0,80.0,69.1,47.8,25.0,63.0,155.0,53.0,3.0,13.0,8,0,,,,,5555983
Belsen Arrin,Arnen FC,Eredivisie,30,ST,2926,40,9,4,8.25,2.97,109.0,54.0,34.0,83.8,311.0,82.0,18.0,19.0,72.0,61.0,69.1,47.2,22.0,56.0,286.0,34.0,17.0,54.0,1,0,,,,,21334351
Moric Kalce,Cortov FC,Eredivisie,19,GK,2033,33,0,0,,,,,56.0,84.7,220.0,95.0,55.0,30.0,17.0,77.0,67.1,55.7,69.0,40.0,157.0,86.0,11.0,45.0,7,0,71.0,26.0,18.0,14.0,18902813
Danvic Rosos,Cortov FC,Eredivisie,33,GK,906,11,0,0,,,,,17.0,89.8,20.0,41.0,2.0,5.0,11.0,10.0,41.1,62.2,28.0,11.0,65.0,5.0,12.0,20.0,6,0,33.0,19.0,2.0,14.0,6298321
Elimir Quifal,Cortov FC,Eredivisie,21,ST,1711,23,3,1,3.04,2.2,62.0,25.0,29.0,92.9,40.0,41.0,27.0,16.0,113.0,49.0,41.0,46.8,15.0,45.0,183.0,29.0,13.0,19.0,9,0,,,,,10493840
Arzar Golba,Cortov FC,Eredivisie,24,CB,725,10,0,0,0.79,1.88,2.0,0.0,3.0,87.7,24.0,33.0,1.0,3.0,7.0,5.0,31.1,62.4,8.0,15.0,37.0,21.0,9.0,4.0,7,0,,,,,9338157
Corgio Elice,Cortov FC,Eredivisie,26,RB,2872,32,4,3,3.75,5.77,34.0,10.0,71.0,89.4,285.0,172.0,129.0,5.0,152.0,21.0,44.8,62.6,23.0,121.0,307.0,56.0,12.0,18.0,0,0,,,,,8386061
Goldin Corfal,Cortov FC,Eredivisie,22,RB,1976,24,1,1,1.24,1.69,35.0,16.0,22.0,91.7,77.0,78.0,32.0,32.0,89.0,67.0,61.7,59.6,25.0,38.0,82.0,72.0,9.0,29.0,3,0,,,,,3857493
Danrin Morez,Cortov FC,Eredivisie,21,CB,2686,42,1,2,3.99,1.26,25.0,7.0,8.0,93.0,145.0,23.0,17.0,15.0,177.0,19.0,39.7,60.8,64.0,46.0,196.0,106.0,5.0,15.0,9,0,,,,,4697731
Corce Henpel,Cortov FC,Eredivisie,19,CM,2312,39,0,1,2.63,6.02,43.0,14.0,45.0,82.7,268.0,120.0,79.0,8.0,42.0,77.0,31.4,57.1,37.0,40.0,276.0,41.0,29.0,35.0,4,0,,,,,25022515
Quisen Osthus,Cortov FC,Eredivisie,22,LW,1309,19,2,1,2.2,1.85,33.0,8.0,8.0,82.9,49.0,48.0,24.0,19.0,82.0,24.0,53.0,49.0,24.0,13.0,58.0,39.0,9.0,27.0,5,0,,,,,2194605
Torez Nevnen,Cortov FC,Eredivisie,20,LW,786,11,3,1,3.74,2.73,20.0,9.0,5.0,87.5,19.0,52.0,1.0,12.0,29.0,28.0,33.2,50.2,16.0,24.0,87.0,26.0,10.0,17.0,9,0,,,,,15638502
Kalvic Quice,Cortov FC,Eredivisie,25,LW,1669,18,9,4,11.57,7.94,25.0,10.0,27.0,78.1,101.0,54.0,59.0,11.0,95.0,6.0,30.8,48.6,29.0,22.0,131.0,43.0,3.0,16.0,2,0,,,,,10560973
Golnen Arsen,Cortov FC,Eredivisie,19,ST,1881,22,5,3,6.08,2.97,55.0,24.0,37.0,87.9,184.0,36.0,40.0,17.0,87.0,65.0,49.8,64.7,36.0,39.0,118.0,28.0,9.0,30.0,8,0,,,,,9840859
Hengio Rosos,Cortov FC,Eredivisie,23,LW,2131,26,7,3,8.29,5.28,89.0,27.0,15.0,76.3,185.0,129.0,77.0,31.0,9.0,21.0,50.5,63.5,24.0,32.0,155.0,71.0,18.0,40.0,4,0,,,,,21003510
Henic Jorhus,Cortov FC,Eredivisie,27,CB,2741,41,3,3,4.26,1.58,6.0,2.0,54.0,92.5,214.0,107.0,88.0,29.0,143.0,60.0,41.5,49.7,42.0,31.0,355.0,59.0,10.0,49.0,5,0,,,,,9353461
Torzar Kalez,Cortov FC,Eredivisie,26,AM,1546,24,5,4,4.61,4.63,26.0,14.0,33.0,73.4,106.0,86.0,46.0,16.0,57.0,25.0,34.8,55.6,41.0,43.0,111.0,38.0,5.0,21.0,1,0,,,,,3345107
Henez Morlan,Cortov FC,Eredivisie,23,ST,2487,29,1,1,1.67,0.96,42.0,20.0,5.0,80.2,90.0,83.0,16.0,39.0,140.0,88.0,39.6,48.7,44.0,42.0,190.0,9.0,23.0,59.0,9,0,,,,,309419
Fargio Beldin,Cortov FC,Eredivisie,27,CM,1426,24,0,0,2.59,2.63,4.0,1.0,2.0,63.2,100.0,17.0,3.0,8.0,77.0,33.0,34.4,60.5,8.0,28.0,74.0,44.0,9.0,27.0,4,0,,,,,394300
Golmir Nevmir,Cortov FC,Eredivisie,19,LW,2557,29,2,0,3.0,1.0,118.0,46.0,10.0,67.9,133.0,50.0,33.0,10.0,133.0,94.0,65.4,62.6,33.0,41.0,217.0,91.0,33.0,26.0,7,0,,,,,1982162
Praos Arce,Cortov FC,Eredivisie,25,AM,2287,33,6,4,7.8,3.7,88.0,36.0,27.0,76.2,127.0,53.0,3.0,31.0,124.0,59.0,54.9,58.8,41.0,62.0,219.0,44.0,12.0,50.0,0,0,,,,,4920105
Rostov Elipel,Cortov FC,Eredivisie,25,CM,996,12,0,0,1.24,2.56,5.0,1.0,7.0,65.6,31.0,21.0,4.0,6.0,17.0,24.0,55.8,55.7,5.0,19.0,69.0,19.0,12.0,20.0,5,0,,,,,72792
Henmir Silfal,Cortov FC,Eredivisie,35,DM,714,12,0,0,1.26,0.79,3.0,0.0,19.0,72.5,89.0,50.0,6.0,5.0,7.0,9.0,45.1,55.9,14.0,30.0,66.0,13.0,1.0,17.0,1,0,,,,,22189291
Nevlan Morzar,Cortov FC,Eredivisie,28,ST,2634,42,5,3,5.55,3.49,118.0,49.0,38.0,82.4,168.0,63.0,5.0,20.0,58.0,111.0,63.0,53.9,52.0,51.0,115.0,17.0,32.0,41.0,0,0,,,,,1139793
Faric Corrin,Elice FC,Championship,27,GK,604,8,0,0,,,,,17.0,70.7,14.0,31.0,22.0,6.0,9.0,8.0,40.3,52.8,20.0,15.0,70.0,17.0,7.0,13.0,0,0,20.0,12.0,2.0,5.0,12206151
Kalic Henfal,Elice FC,Championship,23,GK,2331,36,0,0,,,,,7.0,90.3,73.0,74.0,41.0,2.0,9.0,87.0,39.6,45.2,14.0,23.0,210.0,66.0,23.0,38.0,7,0,123.0,55.0,7.0,16.0,1783353
Lunju Henhus,Elice FC,Championship,17,LW,2209,38,5,4,4.35,3.34,94.0,36.0,39.0,79.0,106.0,43.0,28.0,28.0,48.0,86.0,51.4,43.1,52.0,56.0,205.0,56.0,16.0,45.0,2,0,,,,,2530528
Aric Morlan,Elice FC,Championship,28,ST,780,11,3,2,3.3,1.41,18.0,8.0,12.0,69.3,30.0,11.0,2.0,9.0,15.0,15.0,57.5,61.2,14.0,31.0,71.0,25.0,7.0,16.0,3,0,,,,,13873194
Corgio Osthus,Elice FC,Championship,26,DM,1926,29,0,0,3.39,1.47,9.0,4.0,27.0,68.0,104.0,59.0,24.0,31.0,41.0,36.0,51.6,48.2,33.0,13.0,72.0,16.0,25.0,24.0,9,0,,,,,490941
Golhus Lunzar,Elice FC,Championship,27,CB,1416,19,1,1,0.97,2.94,8.0,2.0,15.0,76.1,134.0,59.0,8.0,15.0,14.0,9.0,48.7,64.2,12.0,12.0,85.0,33.0,6.0,20.0,0,1,,,,,6718291
Toros Morkov,Elice FC,Championship,26,AM,1415,21,5,4,4.78,4.19,37.0,17.0,9.0,93.4,38.0,37.0,30.0,15.0,71.0,36.0,58.7,53.8,40.0,23.0,149.0,55.0,17.0,12.0,6,0,,,,,11046180
Kalez Ivapel,Elice FC,Championship,25,CM,1890,29,2,3,1.84,2.24,24.0,7.0,12.0,93.4,144.0,48.0,33.0,24.0,80.0,26.0,68.2,48.0,31.0,38.0,145.0,27.0,15.0,45.0,3,0,,,,,14481974
Ostce Faric,Elice FC,Championship,21,CM,1232,16,1,0,1.23,1.57,20.0,9.0,21.0,84.2,98.0,22.0,22.0,14.0,43.0,21.0,66.1,63.8,36.0,37.0,84.0,53.0,13.0,8.0,2,0,,,,,18051063
Dannen Nevrin,Elice FC,Championship,25,CB,1162,19,1,2,1.68,0.81,18.0,3.0,35.0,79.4,145.0,62.0,41.0,14.0,26.0,21.0,56.5,55.6,35.0,30.0,150.0,47.0,14.0,20.0,0,0,,,,,13172244
Nevvic Silzar,Elice FC,Championship,21,AM,2486,41,1,1,1.62,1.13,107.0,38.0,20.0,85.7,132.0,88.0,59.0,26.0,54.0,35.0,63.4,47.0,53.0,52.0,136.0,22.0,31.0,35.0,6,0,,,,,1490460
Morfal Praju,Elice FC,Championship,25,CM,1748,27,0,0,0.26,0.51,18.0,4.0,10.0,80.3,80.0,28.0,34.0,5.0,51.0,19.0,39.3,61.8,39.0,44.0,112.0,70.0,13.0,15.0,6,0,,,,,1782662
Ardin Golkov,Elice FC,Championship,22,CB,1813,25,0,0,2.8,2.17,9.0,3.0,50.0,74.0,105.0,91.0,39.0,18.0,66.0,17.0,61.7,56.9,30.0,28.0,168.0,66.0,23.0,33.0,8,0,,,,,6685678
Kaltov Jorzar,Elice FC,Championship,25,DM,2454,30,0,0,1.19,4.25,36.0,11.0,6.0,76.2,81.0,20.0,16.0,22.0,71.0,20.0,64.4,43.9,39.0,38.0,154.0,17.0,10.0,44.0,0,0,,,,,2655864
Silfal Aric,Elice FC,Championship,27,CM,961,15,0,0,0.85,1.14,7.0,2.0,4.0,67.6,58.0,12.0,16.0,6.0,31.0,33.0,65.1,60.6,4.0,16.0,34.0,35.0,3.0,15.0,7,1,,,,,145253
Beltov Aric,Elice FC,Championship,28,CM,1028,13,0,0,1.28,1.6,16.0,5.0,30.0,91.1,49.0,65.0,17.0,6.0,18.0,36.0,35.1,55.4,24.0,32.0,99.0,36.0,10.0,18.0,2,0,,,,,17307797
Gollan Lunic,Elice FC,Championship,26,LW,2523,36,2,2,2.37,1.75,60.0,21.0,35.0,65.3,141.0,82.0,31.0,33.0,66.0,41.0,54.9,43.7,30.0,65.0,138.0,102.0,25.0,60.0,7,0,,,,,939719
Elice Ivatov,Elice FC,Championship,31,CM,1780,25,0,0,0.92,2.22,17.0,5.0,27.0,70.8,28.0,53.0,34.0,18.0,28.0,19.0,42.1,54.9,32.0,30.0,146.0,24.0,7.0,10.0,7,0,,,,,1036825
Elinen Kalez,Elice FC,Championship,25,CM,1041,13,0,0,1.7,0.44,7.0,2.0,20.0,87.6,58.0,23.0,33.0,13.0,11.0,17.0,54.3,42.7,8.0,10.0,118.0,15.0,13.0,12.0,5,0,,,,,4941845
Ivaez Quisen,Elice FC,Championship,20,LW,1902,25,6,3,8.67,5.16,89.0,26.0,52.0,86.8,206.0,20.0,71.0,24.0,72.0,9.0,64.1,48.1,21.0,60.0,256.0,69.0,19.0,30.0,9,0,,,,,14787884
Eliic Corgio,Elice FC,Championship,23,ST,1539,18,5,1,6.24,3.53,25.0,7.0,41.0,86.8,104.0,36.0,20.0,5.0,34.0,48.0,46.5,52.1,53.0,60.0,147.0,45.0,14.0,32.0,7,0,,,,,27073000
Elinen Morlan,Elice FC,Championship,30,CB,1152,18,0,1,0.62,1.49,19.0,7.0,35.0,72.4,87.0,15.0,13.0,12.0,50.0,36.0,54.5,63.7,32.0,14.0,68.0,39.0,9.0,26.0,7,0,,,,,15084421
Henkov Ivamir,Corzar FC,Championship,27,GK,1379,23,0,0,,,,,23.0,64.3,79.0,17.0,37.0,9.0,64.0,60.0,61.9,64.2,18.0,9.0,55.0,9.0,9.0,18.0,6,0,55.0,36.0,1.0,18.0,1651475
Belic Eligio,Corzar FC,Championship,25,GK,1794,23,0,0,,,,,22.0,79.1,88.0,24.0,8.0,11.0,110.0,39.0,55.4,49.4,26.0,46.0,121.0,48.0,10.0,38.0,0,0,65.0,36.0,1.0,9.0,2174620
Golvic Jorju,Corzar FC,Championship,24,DM,2664,34,1,3,0.39,4.94,22.0,6.0,18.0,76.9,255.0,46.0,68.0,36.0,46.0,118.0,54.3,50.3,22.0,45.0,112.0,20.0,12.0,36.0,8,0,,,,,2258333
Roszar Corkov,Corzar FC,Championship,24,LW,1644,23,2,1,3.38,1.95,70.0,38.0,7.0,69.5,26.0,58.0,11.0,4.0,69.0,69.0,58.1,45.7,26.0,16.0,53.0,36.0,10.0,8.0,8,0,,,,,1047674
Lunzar Ostrin,Corzar FC,Championship,20,CB,1994,26,2,3,1.67,5.13,14.0,3.0,34.0,89.1,60.0,22.0,41.0,20.0,85.0,27.0,36.7,46.8,61.0,51.0,223.0,73.0,4.0,37.0,1,0,,,,,10500911
Ivadin Golvic,Corzar FC,Championship,22,DM,2114,28,0,1,1.13,2.22,23.0,6.0,44.0,71.2,163.0,36.0,6.0,25.0,140.0,76.0,46.7,56.5,29.0,22.0,233.0,78.0,14.0,22.0,4,0,,,,,14010978
Farlan Morez,Corzar FC,Championship,29,LW,1490,21,6,5,6.78,3.82,64.0,32.0,32.0,66.2,37.0,78.0,51.0,17.0,90.0,52.0,40.6,62.8,12.0,51.0,92.0,27.0,10.0,16.0,0,0,,,,,8880088
Lunzar Joric,Corzar FC,Championship,31,LW,2185,26,3,2,3.78,1.76,37.0,11.0,42.0,82.2,99.0,104.0,22.0,15.0,52.0,86.0,55.8,44.2,21.0,54.0,173.0,85.0,14.0,17.0,1,0,,,,,1742897
Quidin Nevfal,Corzar FC,Championship,22,LW,2350,40,12,4,11.51,6.82,88.0,41.0,56.0,81.9,59.0,39.0,7.0,12.0,73.0,26.0,42.7,52.8,60.0,67.0,141.0,45.0,25.0,22.0,9,0,,,,,7577969
Belez Torgio,Corzar FC,Championship,17,ST,1152,20,0,0,0.77,0.57,54.0,16.0,7.0,79.0,44.0,10.0,23.0,16.0,33.0,6.0,57.0,55.6,8.0,19.0,88.0,8.0,5.0,24.0,7,0,,,,,2433381
Morlan Belic,Corzar FC,Championship,24,DM,1572,27,2,1,0.98,1.27,23.0,6.0,8.0,69.7,159.0,71.0,36.0,8.0,97.0,66.0,60.7,53.3,11.0,59.0,129.0,50.0,4.0,37.0,9,0,,,,,6950517
Lunpel Kalhus,Corzar FC,Championship,29,RB,1503,19,0,0,0.91,1.61,27.0,9.0,28.0,64.8,93.0,46.0,18.0,2.0,33.0,18.0,46.3,44.4,7.0,39.0,105.0,41.0,7.0,23.0,9,0,,,,,2649989
Morpel Nevgio,Corzar FC,Championship,22,CB,1215,16,0,0,2.1,1.4,9.0,2.0,13.0,70.3,27.0,54.0,35.0,15.0,66.0,18.0,35.9,62.0,40.0,15.0,128.0,36.0,4.0,10.0,0,0,,,,,18020650
Danos Kalzar,Corzar FC,Championship,25,CM,1186,14,0,1,1.8,2.75,23.0,8.0,3.0,75.9,41.0,27.0,30.0,14.0,77.0,50.0,60.6,62.2,22.0,17.0,63.0,47.0,6.0,13.0,4,0,,,,,1383437
Mormir Corgio,Corzar FC,Championship,27,CB,2258,35,0,1,4.25,5.69,23.0,7.0,21.0,72.2,160.0,106.0,42.0,32.0,133.0,43.0,31.0,49.2,27.0,43.0,205.0,98.0,13.0,27.0,7,0,,,,,4132073
Arhus Kalos,Corzar FC,Championship,23,RB,2928,35,3,4,5.79,3.22,14.0,5.0,29.0,92.9,243.0,25.0,80.0,36.0,173.0,63.0,66.2,66.0,42.0,61.0,284.0,83.0,5.0,44.0,3,0,,,,,21331475
Dantov Quice,Corzar FC,Championship,20,AM,2391,32,5,4,5.68,1.78,93.0,33.0,68.0,86.6,185.0,126.0,50.0,38.0,156.0,84.0,65.8,56.0,38.0,81.0,292.0,93.0,31.0,51.0,6,0,,,,,28754758
Torgio Nevba,Corzar FC,Championship,22,DM,1185,19,1,0,2.06,0.8,9.0,1.0,14.0,89.5,58.0,23.0,3.0,2.0,47.0,46.0,49.5,55.7,28.0,13.0,71.0,15.0,3.0,25.0,5,0,,,,,7251306
Corce Luntov,Corzar FC,Championship,22,DM,686,11,0,0,0.95,1.75,12.0,5.0,15.0,92.3,60.0,11.0,6.0,11.0,23.0,18.0,41.5,45.2,21.0,17.0,88.0,12.0,4.0,7.0,3,0,,,,,14534776
Arkov Eligio,Corzar FC,Championship,23,ST,2523,28,10,3,9.96,8.82,67.0,20.0,45.0,92.7,250.0,154.0,65.0,28.0,132.0,104.0,56.9,53.4,56.0,47.0,238.0,14.0,9.0,31.0,0,0,,,,,18335216
Fardin Jorzar,Corzar FC,Championship,22,ST,2586,41,3,2,3.44,3.07,109.0,46.0,34.0,86.7,128.0,24.0,45.0,40.0,142.0,48.0,33.5,42.9,41.0,55.0,156.0,112.0,9.0,63.0,7,0,,,,,2309383
Corce Danrin,Corzar FC,Championship,26,CM,2605,33,1,2,2.68,2.06,23.0,4.0,50.0,65.5,232.0,180.0,70.0,40.0,92.0,113.0,66.8,48.4,24.0,93.0,212.0,58.0,21.0,21.0,5,0,,,,,6791989
Jormir Henez,Kaltov FC,Championship,22,GK,373,4,0,0,,,,,6.0,83.2,19.0,8.0,14.0,2.0,14.0,7.0,59.0,47.5,12.0,8.0,26.0,5.0,4.0,9.0,2,0,10.0,6.0,0.0,1.0,17996903
Nevlan Kalez,Kaltov FC,Championship,21,GK,2256,29,0,0,,,,,32.0,89.8,139.0,74.0,68.0,3.0,46.0,17.0,51.6,57.8,32.0,50.0,177.0,54.0,22.0,13.0,0,0,87.0,28.0,9.0,33.0,5592926
Ostnen Elizar,Kaltov FC,Championship,28,LW,2090,35,2,1,1.84,1.91,86.0,33.0,36.0,65.1,127.0,31.0,7.0,25.0,100.0,77.0,62.9,49.9,18.0,22.0,123.0,90.0,25.0,44.0,1,0,,,,,1177809
Farce Belgio,Kaltov FC,Championship,25,LW,2514,29,2,1,2.88,1.71,63.0,27.0,29.0,78.7,51.0,37.0,33.0,29.0,134.0,89.0,67.4,40.7,39.0,20.0,131.0,29.0,23.0,13.0,5,0,,,,,720174
Rostov Torpel,Kaltov FC,Championship,22,CM,1424,17,0,1,0.24,0.72,20.0,4.0,36.0,69.4,122.0,21.0,50.0,17.0,33.0,30.0,42.1,64.7,36.0,50.0,71.0,45.0,16.0,18.0,5,0,,,,,18304177
Praba Henkov,Kaltov FC,Championship,28,LW,1794,23,2,1,3.07,1.6,66.0,24.0,19.0,63.6,87.0,9.0,46.0,24.0,49.0,63.0,59.5,43.1,35.0,10.0,114.0,65.0,11.0,11.0,8,0,,,,,1629482
Torlan Corrin,Kaltov FC,Championship,27,CB,432,6,0,0,0.09,0.88,6.0,1.0,9.0,89.2,35.0,13.0,7.0,4.0,13.0,15.0,50.4,53.9,10.0,8.0,34.0,2.0,5.0,2.0,8,0,,,,,4702848
Kaltov Elikov,Kaltov FC,Championship,19,DM,1352,17,0,0,1.12,0.71,16.0,3.0,33.0,89.3,85.0,76.0,30.0,22.0,58.0,14.0,34.3,63.4,36.0,43.0,131.0,56.0,15.0,16.0,6,0,,,,,13046284
Sillan Golsen,Kaltov FC,Championship,18,CM,1125,13,1,1,1.12,2.32,16.0,6.0,19.0,74.6,101.0,47.0,6.0,7.0,18.0,9.0,48.4,61.0,26.0,32.0,171.0,46.0,11.0,16.0,4,0,,,,,19638614
Nevvic Kalez,Kaltov FC,Championship,24,CB,2090,25,0,0,3.01,4.47,16.0,4.0,41.0,68.7,143.0,39.0,47.0,32.0,64.0,20.0,30.9,51.8,41.0,58.0,85.0,73.0,13.0,14.0,0,0,,,,,2160492
Roskov Coros,Kaltov FC,Championship,24,CM,1714,22,0,0,1.78,2.04,9.0,4.0,16.0,70.6,42.0,49.0,58.0,18.0,16.0,53.0,53.8,56.2,21.0,15.0,198.0,15.0,18.0,9.0,7,0,,,,,5396039
